match_id,data,casa,ospite,gol_casa_reali,gol_ospite_reali,gol_casa_baseline,gol_ospite_baseline,tiri_dentro_casa_pre,tiri_fuori_casa_pre,tiri_dentro_casa_concessi_pre,tiri_fuori_casa_concessi_pre,tiri_dentro_ospite_pre,tiri_fuori_ospite_pre,tiri_dentro_ospite_concessi_pre,tiri_fuori_ospite_concessi_pre,expected_tiri_dentro_casa,expected_tiri_dentro_ospite,expected_tiri_fuori_casa,expected_tiri_fuori_ospite,tiri_dentro_casa_reali,tiri_fuori_casa_reali,tiri_dentro_ospite_reali,tiri_fuori_ospite_reali,valido
29879,2025-09-21 16:00:00,Fiorentina,Como,1.0,2.0,0.8738738738738738,1.161936936936937,7.0,5.666666666666667,9.0,2.6666666666666665,8.666666666666666,6.333333333333333,7.333333333333333,3.3333333333333335,7.166666666666666,8.833333333333332,4.5,4.5,3,5,10,9,True
29880,2025-09-21 18:45:00,Inter,Sassuolo,2.0,1.0,2.0460526315789473,1.4808576410906784,11.0,7.0,5.666666666666667,5.666666666666667,5.666666666666667,3.0,8.0,4.333333333333333,9.5,5.666666666666667,5.666666666666666,4.333333333333334,16,4,5,5,True
29883,2025-09-22 18:45:00,Napoli,Pisa,3.0,2.0,1.5512820512820513,0.4675014907573047,11.0,4.666666666666667,6.0,5.666666666666667,6.0,4.0,8.666666666666666,6.333333333333333,9.833333333333332,6.0,5.5,4.833333333333334,11,7,11,4,True
29885,2025-09-27 13:00:00,Como,Cremonese,1.0,1.0,1.19375,0.9904189560439561,9.0,7.0,6.25,3.75,3.75,2.25,11.0,6.0,10.0,5.0,6.5,3.0,7,7,5,4,True
29887,2025-09-27 16:00:00,Juventus,Atalanta,1.0,1.0,1.5670731707317072,1.5920043273013371,8.25,6.75,6.0,6.5,10.5,4.75,4.75,5.5,6.5,8.25,6.125,5.625,11,13,6,6,True
29884,2025-09-27 18:45:00,Cagliari,Inter,0.0,2.0,1.1904761904761905,1.6136591478696742,8.25,4.5,9.0,3.75,12.25,6.25,5.5,5.5,6.875,10.625,5.0,5.0,5,1,15,5,True
29893,2025-09-28 10:30:00,Sassuolo,Udinese,3.0,1.0,1.0639534883720931,1.357363342124191,5.5,3.5,10.0,4.25,5.25,6.5,8.5,4.0,7.0,7.625,3.75,5.375,8,3,6,6,True
29891,2025-09-28 13:00:00,Pisa,Fiorentina,0.0,0.0,0.9488636363636364,1.0944813231323132,7.25,4.0,9.25,6.5,6.0,5.5,9.25,4.25,8.25,7.625,4.125,6.0,9,2,8,6,True
29892,2025-09-28 13:00:00,Roma,Verona,2.0,0.0,0.936111111111111,0.4959020902090209,8.75,5.75,4.5,4.25,7.25,6.5,7.25,5.75,8.0,5.875,5.75,5.375,6,4,6,6,True
29888,2025-09-28 16:00:00,Lecce,Bologna,2.0,2.0,0.8097826086956522,1.3023427606585058,5.5,3.75,9.5,3.75,7.25,3.75,7.5,4.5,6.5,8.375,4.125,3.75,10,2,9,5,True
29889,2025-09-28 18:45:00,Milan,Napoli,2.0,1.0,1.4441489361702127,1.2191539073374427,12.0,4.25,3.25,3.25,11.0,5.25,7.25,5.25,9.625,7.125,4.75,4.25,5,1,12,7,True
29890,2025-09-29 16:30:00,Parma,Torino,2.0,1.0,0.6979166666666666,0.7296401515151515,7.0,4.5,7.75,5.0,5.75,3.75,10.0,6.5,8.5,6.75,5.5,4.375,6,7,8,7,True
29886,2025-09-29 18:45:00,Genoa,Lazio,0.0,3.0,0.826530612244898,1.0050794654144843,5.5,3.0,7.5,4.25,8.0,4.5,10.0,3.5,7.75,7.75,3.25,4.375,9,8,8,1,True
29903,2025-10-03 18:45:00,Verona,Sassuolo,0.0,1.0,0.78,1.5227586206896548,7.0,6.4,7.0,5.4,6.0,3.4,9.2,4.6,8.1,6.5,5.5,4.4,9,8,6,5,True
29901,2025-10-04 13:00:00,Parma,Lecce,0.0,1.0,0.8735294117647058,0.995995475113122,6.8,5.0,7.8,5.4,6.4,3.4,9.4,4.0,8.1,7.1,4.5,4.4,6,3,4,3,True
